ID,N_VICTIMAS,AÑO,MES,DIA_SEMANA,DIA_SEMANA_NOM,HORA,TIPO_DE_CALLE,VIAS_INVOL,INTERSECCION,COMUNA,PARTICIPANTES,VICTIMA,ACUSADO,LONGITUD,LATITUD
2016-0138,1,2016,10,3,JUEVES,20.5,AVENIDA,"['CABILDO AV.', 'BLANCO ENCALADA']",1,13,BICICLETA-CARGAS,BICICLETA,CARGAS,-58.4590967,-34.55922742
2016-0139,1,2016,10,4,VIERNES,23.0,AVENIDA,"['FIGUEROA ALCORTA, PRES. AV.', 'DORREGO AV.']",1,14,MOTO-MOTO,MOTO,MOTO,-58.42008769,-34.56539579
2016-0140,1,2016,10,0,LUNES,2.966666666666667,AVENIDA,"['JURAMENTO AV.', 'VUELTA DE OBLIGADO']",1,13,PASAJEROS-PASAJEROS,PASAJEROS,PASAJEROS,-58.45566399,-34.56147293
2016-0142,1,2016,11,5,SÁBADO,23.5,AVENIDA,"['DEL LIBERTADOR AV.', 'RAMOS MEJIA, JOSE MARIA, DR. AV.']",1,1,MOTO-PASAJEROS,MOTO,PASAJEROS,-58.37533517,-34.59276462
2016-0143,1,2016,11,6,DOMINGO,4.683333333333334,AVENIDA,"['27 DE FEBRERO AV.', 'ESCALADA AV.']",1,8,MOTO-SD,MOTO,SD,-58.44451316,-34.68475866
2016-0144,1,2016,11,0,LUNES,12.166666666666666,AVENIDA,"['BROWN, ALTE. AV.']",0,4,PEATON-PASAJEROS,PEATON,PASAJEROS,-58.35975012,-34.63343907
2016-0145,1,2016,11,0,LUNES,20.933333333333334,AVENIDA,"['DEL LIBERTADOR AV.', 'LA PAMPA']",1,13,MOTO-AUTO,MOTO,AUTO,-58.44523595,-34.55953855
2016-0146,1,2016,11,2,MIÉRCOLES,20.0,AVENIDA,"['PICHINCHA AV.', 'BRASIL']",1,4,PEATON-PASAJEROS,PEATON,PASAJEROS,-58.39626094,-34.63036565
2016-0147,1,2016,11,2,MIÉRCOLES,21.25,AVENIDA,"['INDEPENDENCIA AV.', 'CEVALLOS, VIRREY']",1,1,MOVIL-PASAJEROS,MOVIL,PASAJEROS,-58.38896772,-34.61799615
2016-0148,1,2016,11,2,MIÉRCOLES,22.333333333333332,AVENIDA,['GARMENDIA AV.'],0,15,MOTO-MOTO,MOTO,MOTO,-58.46536113,-34.59484504
2016-0150,1,2016,11,4,VIERNES,18.333333333333332,AVENIDA,"['ALCORTA, AMANCIO AV.', 'TABORDA, DIOGENES']",1,4,CARGAS-CARGAS,CARGAS,CARGAS,-58.40879146,-34.65273216
2016-0152,1,2016,11,2,MIÉRCOLES,21.166666666666668,AVENIDA,"['MORENO, PERITO AV.', 'ZUVIRIA']",1,7,MOTO-AUTO,MOTO,AUTO,-58.46451841,-34.64991946
2016-0153,1,2016,11,4,VIERNES,15.7,AVENIDA,"['ARAOZ', 'CORDOBA AV.']",1,15,PEATON-MOTO,PEATON,MOTO,-58.4291709,-34.59485488
2016-0154,1,2016,11,5,SÁBADO,14.233333333333333,GRAL PAZ,"['PAZ, GRAL. AV.']",0,8,MOTO-MOTO,MOTO,MOTO,-58.49007772,-34.68251141
2016-0155,1,2016,11,5,SÁBADO,16.833333333333332,CALLE,['MADERO'],0,10,PEATON-AUTO,PEATON,AUTO,-58.52756365,-34.62772274
2016-0156,1,2016,11,5,SÁBADO,19.666666666666668,AVENIDA,"['INDEPENDENCIA AV.', 'DEAN FUNES']",1,3,MOTO-PASAJEROS,MOTO,PASAJEROS,-58.40638983,-34.61943202
2016-0157,1,2016,12,5,SÁBADO,6.666666666666667,AVENIDA,"['JUSTO, JUAN B. AV.']",0,11,MOTO-MOTO,MOTO,MOTO,-58.47576807,-34.61740997
2016-0159,1,2016,12,6,DOMINGO,7.35,AVENIDA,"['27 DE FEBRERO AV.', 'ESCALADA AV.']",1,8,AUTO-SD,AUTO,SD,-58.44451316,-34.68475866
2016-0160,1,2016,12,1,MARTES,5.5,AUTOPISTA,['AUTOPISTA PERITO MORENO'],0,9,CARGAS-OBJETO FIJO,CARGAS,OBJETO FIJO,-58.51927194,-34.63635787
2016-0161,1,2016,12,1,MARTES,7.366666666666666,AVENIDA,"['SANTA FE AV.', 'GODOY CRUZ']",1,14,PEATON-PASAJEROS,PEATON,PASAJEROS,-58.42525456,-34.57866344
2016-0162,1,2016,12,2,MIÉRCOLES,5.0,AVENIDA,"['LACROZE, FEDERICO AV.', 'FOREST AV.']",1,15,PEATON-AUTO,PEATON,AUTO,-58.45396573,-34.58518167
2016-0163,1,2016,12,5,SÁBADO,7.5,GRAL PAZ,"['PAZ, GRAL. AV.', 'MOSCONI GENERAL AV.']",1,11,MOTO-AUTO,MOTO,AUTO,-58.52340614,-34.59798754
2016-0164,1,2016,12,6,DOMINGO,6.266666666666667,AVENIDA,"['LA PLATA AV.', 'POMAR, GREGORIO TTE. CNEL.']",1,4,AUTO-AUTO,AUTO,AUTO,-58.42323628,-34.64119105
2016-0165,1,2016,12,0,LUNES,8.416666666666666,AVENIDA,"['GARCIA, MARTIN AV.']",0,4,BICICLETA-PASAJEROS,BICICLETA,PASAJEROS,-58.36926144,-34.62841919
2016-0168,1,2016,12,1,MARTES,10.666666666666666,AVENIDA,"['LA PLATA AV.', 'POMAR, GREGORIO TTE. CNEL.']",1,4,MOTO-AUTO,MOTO,AUTO,-58.42323628,-34.64119105
2016-0169,1,2016,12,3,JUEVES,15.5,AVENIDA,"['NU?EZ', 'BALBIN, RICARDO, DR. AV.']",1,12,MOTO-PASAJEROS,MOTO,PASAJEROS,-58.47935434,-34.55676497
2016-0170,1,2016,12,0,LUNES,17.166666666666668,GRAL PAZ,"['PAZ, GRAL. AV.']",0,12,MOTO-AUTO,MOTO,AUTO,-58.50598256,-34.5637998
2016-0171,1,2016,12,6,DOMINGO,19.0,AUTOPISTA,"['HUERGO, ING. AV.', 'AUTOPISTA 25 DE MAYO']",1,1,MOTO-MOTO,MOTO,MOTO,-58.36607137,-34.62150748
2016-0172,1,2016,12,0,LUNES,8.0,AVENIDA,"['GARAY, JUAN DE AV.', 'CASTRO']",1,5,MOTO-CARGAS,MOTO,CARGAS,-58.41918902,-34.63174259
2016-0173,1,2016,12,0,LUNES,19.866666666666667,AVENIDA,"['DIRECTORIO AV.', 'SAN PEDRITO AV.']",1,7,MOTO-CARGAS,MOTO,CARGAS,-58.46749188,-34.63551751
2016-0175,1,2016,12,1,MARTES,8.25,CALLE,"['FALCON, RAMON L.,CNEL.', 'MEMBRILLAR']",1,7,PEATON-BICICLETA,PEATON,BICICLETA,-58.46064174,-34.62960517
2016-0176,1,2016,12,2,MIÉRCOLES,1.6833333333333333,AVENIDA,"['BELGRANO AV.', 'PASEO COLON AV.']",1,1,MOTO-PASAJEROS,MOTO,PASAJEROS,-58.36956186,-34.61232875
2016-0177,1,2016,12,3,JUEVES,4.0,CALLE,['ARENALES'],0,14,PEATON-AUTO,PEATON,AUTO,-58.40966671,-34.58788235
2016-0178,1,2016,12,4,VIERNES,16.3,CALLE,"['REPUBLICA BOLIVARIANA DE VENEZUELA', 'SAAVEDRA']",1,3,MULTIPLE,PEATON,MULTIPLE,-58.40288226,-34.61544091
2017-0001,1,2017,1,0,LUNES,1.0,AVENIDA,"['JUSTO, JUAN B. AV.', 'ACHUPALLAS']",1,11,MOTO-CARGAS,MOTO,CARGAS,-58.4659423,-34.61028571
2017-0003,1,2017,1,3,JUEVES,3.1666666666666665,AVENIDA,"['OLAVARRIA', 'VELEZ SARSFIELD AV.']",1,4,CARGAS-CARGAS,CARGAS,CARGAS,-58.38957669,-34.64410277
2017-0007,1,2017,1,2,MIÉRCOLES,17.0,CALLE,"['LIMA', 'MEXICO']",1,1,MULTIPLE,PEATON,MULTIPLE,-58.3816166,-34.61529543
2017-0008,1,2017,1,0,LUNES,0.6666666666666666,CALLE,"['CABRERA, JOSE A.', 'BONPLAND']",1,14,MOTO-PASAJEROS,MOTO,PASAJEROS,-58.43917004,-34.58494351
2017-0009,1,2017,1,0,LUNES,13.933333333333334,AUTOPISTA,['AUTOPISTA 25 DE MAYO'],0,5,MOTO-CARGAS,MOTO,CARGAS,-58.41595919,-34.62743346
2017-0010,1,2017,1,0,LUNES,16.5,AVENIDA,"['DIRECTORIO AV.', 'RIGLOS']",1,6,MOTO-AUTO,MOTO,AUTO,-58.4356488,-34.62828656
2017-0011,1,2017,1,6,DOMINGO,2.5,GRAL PAZ,"['PAZ, GRAL. AV.', 'BALBIN, RICARDO, DR. AV.']",1,12,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,-58.5007381,-34.5497951
2017-0012,1,2017,1,1,MARTES,14.0,CALLE,"['TRAFUL', 'TABORDA, DIOGENES']",1,4,MOTO-CARGAS,MOTO,CARGAS,-58.40969005,-34.6505529
2017-0013,1,2017,1,4,VIERNES,7.0,AVENIDA,"['IRIARTE, GRAL. AV.']",0,4,PEATON-CARGAS,PEATON,CARGAS,-58.38972622,-34.65098981
2017-0014,1,2017,1,5,SÁBADO,8.45,AVENIDA,"['DONADO', 'ARIAS']",1,12,MULTIPLE,MOTO,MULTIPLE,-58.49185972,-34.55046754
2017-0015,1,2017,2,3,JUEVES,15.3,AVENIDA,"['CORDOBA AV.', 'CALLAO AV.']",1,2,PEATON-AUTO,PEATON,AUTO,-58.39293417,-34.59963642
2017-0016,1,2017,2,4,VIERNES,5.2,AUTOPISTA,['AUTOPISTA 25 DE MAYO'],0,1,MOTO-CARGAS,MOTO,CARGAS,-58.38099494,-34.62288231
2017-0017,1,2017,2,0,LUNES,8.0,AVENIDA,"['JUSTO, JUAN B. AV.', 'PARAGUAY']",1,14,MOTO-AUTO,MOTO,AUTO,-58.429012,-34.58095431
2017-0018,1,2017,2,3,JUEVES,7.0,GRAL PAZ,"['PAZ, GRAL. AV.', 'DE LOS CORRALES AV.']",1,9,MOTO-AUTO,MOTO,AUTO,-58.50877521,-34.66977709
2017-0021,1,2017,2,5,SÁBADO,5.5,CALLE,"['SARMIENTO', 'LIBERTAD']",1,1,MOTO-PASAJEROS,MOTO,PASAJEROS,-58.38362373,-34.60509972
2017-0024,1,2017,2,3,JUEVES,20.833333333333332,AVENIDA,['RIVADAVIA AV.'],0,7,PEATON-PASAJEROS,PEATON,PASAJEROS,-58.46589308,-34.62955795
2017-0025,1,2017,2,4,VIERNES,17.083333333333332,AVENIDA,"['FERNANDEZ DE LA CRUZ, F., GRAL. AV.', 'RIVERA INDARTE AV.']",1,7,MOTO-SD,MOTO,SD,-58.43614426,-34.6542464
2017-0026,2,2017,2,6,DOMINGO,5.25,AVENIDA,"['MORENO, PERITO AV.', 'FOURNIER']",1,4,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,-58.41842777,-34.64979057
2017-0027,1,2017,2,6,DOMINGO,21.95,AVENIDA,['CASEROS AV.'],0,1,PEATON-AUTO,PEATON,AUTO,-58.38332245,-34.6319325
2017-0028,1,2017,2,1,MARTES,9.333333333333334,AVENIDA,"['GAONA AV.', 'FRAGATA PRES. SARMIENTO']",1,6,PEATON-AUTO,PEATON,AUTO,-58.45475488,-34.61196327
2017-0029,1,2017,3,1,MARTES,2.25,CALLE,"['MOZART', 'TANDIL']",1,9,SD-AUTO,SD,AUTO,-58.48501341,-34.64742455
2017-0030,1,2017,3,1,MARTES,8.0,AVENIDA,"['MOZART', 'AUTOPISTA DELLEPIANE LUIS TTE. GRAL.']",1,9,AUTO-PASAJEROS,AUTO,PASAJEROS,-58.47010988,-34.65872088
2017-0031,1,2017,3,5,SÁBADO,1.5,CALLE,"['24 DE NOVIEMBRE', 'PAVON']",1,3,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,-58.4099756,-34.62873635
2017-0032,1,2017,3,6,DOMINGO,5.0,GRAL PAZ,"['PAZ, GRAL. AV.', 'LOS CEDROS']",1,8,AUTO-AUTO,AUTO,AUTO,-58.48892175,-34.68359163
2017-0033,1,2017,3,6,DOMINGO,7.5,GRAL PAZ,"['PAZ, GRAL. AV.', 'GUTIERREZ, RICARDO']",1,11,AUTO-AUTO,AUTO,AUTO,-58.52466448,-34.60325478
2017-0034,1,2017,3,0,LUNES,7.833333333333333,CALLE,['GODOY CRUZ'],0,14,PEATON-AUTO,PEATON,AUTO,-58.42554218,-34.57929036
2017-0035,3,2017,3,3,JUEVES,5.0,AVENIDA,"['ACHAVAL RODRIGUEZ, T., DR. AV.', 'VILLAFLOR, AZUCENA']",1,1,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,-58.35881506,-34.61113641
2017-0036,2,2017,3,2,MIÉRCOLES,18.0,GRAL PAZ,"['PAZ, GRAL. AV.', 'CAMPANA']",1,12,MOTO-PASAJEROS,MOTO,PASAJEROS,-58.51452347,-34.58159762
2017-0037,1,2017,3,4,VIERNES,3.0,AVENIDA,"['INDEPENDENCIA AV.', 'CEVALLOS, VIRREY']",1,1,MOTO-CARGAS,MOTO,CARGAS,-58.38896772,-34.61799615
2017-0038,1,2017,4,5,SÁBADO,19.0,AVENIDA,"['CASTA?ARES AV.', 'LAUTARO']",1,7,MOTO-AUTO,MOTO,AUTO,-58.44516857,-34.64363363
2017-0040,1,2017,4,0,LUNES,9.666666666666666,AVENIDA,"['GUIRALDES, INT.']",0,13,MULTIPLE,AUTO,MULTIPLE,-58.43834197,-34.54560369
