ID,AÑO,MES_NOM,MES,DIA_SEMANA_NOM,DIA_SEMANA,ROL,VICTIMA,SEXO,EDAD
2017-0129,2017,OCTUBRE,10,JUEVES,3,CONDUCTOR,MOTO,MASCULINO,57
2017-0130,2017,OCTUBRE,10,VIERNES,4,CONDUCTOR,AUTO,MASCULINO,23
2017-0132,2017,OCTUBRE,10,LUNES,0,CONDUCTOR,MOTO,MASCULINO,23
2017-0134,2017,NOVIEMBRE,11,LUNES,0,PEATON,PEATON,FEMENINO,47
2017-0135,2017,NOVIEMBRE,11,MARTES,1,CONDUCTOR,MOTO,MASCULINO,24
2017-0136,2017,NOVIEMBRE,11,JUEVES,3,PEATON,PEATON,MASCULINO,55
2017-0137,2017,NOVIEMBRE,11,VIERNES,4,PEATON,PEATON,FEMENINO,60
2017-0138,2017,NOVIEMBRE,11,DOMINGO,6,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,25
2017-0139,2017,NOVIEMBRE,11,DOMINGO,6,PASAJERO_ACOMPAÑANTE,AUTO,FEMENINO,15
2017-0140,2017,NOVIEMBRE,11,DOMINGO,6,CONDUCTOR,MOTO,MASCULINO,24
2017-0141,2017,NOVIEMBRE,11,JUEVES,3,PEATON,PEATON,FEMENINO,22
2017-0143,2017,NOVIEMBRE,11,SÁBADO,5,CONDUCTOR,AUTO,MASCULINO,50
2017-0144,2017,NOVIEMBRE,11,DOMINGO,6,PASAJERO_ACOMPAÑANTE,AUTO,FEMENINO,50
2017-0145,2017,NOVIEMBRE,11,DOMINGO,6,CONDUCTOR,MOTO,MASCULINO,58
2017-0147,2017,NOVIEMBRE,11,MARTES,1,CONDUCTOR,MOTO,MASCULINO,49
2017-0148,2017,NOVIEMBRE,11,MIÉRCOLES,2,PEATON,PEATON,FEMENINO,82
2017-0149,2017,NOVIEMBRE,11,JUEVES,3,PEATON,PEATON,MASCULINO,13
2017-0150,2017,DICIEMBRE,12,LUNES,0,PEATON,PEATON,MASCULINO,56
2017-0151,2017,DICIEMBRE,12,LUNES,0,PEATON,PEATON,MASCULINO,30
2017-0152,2017,DICIEMBRE,12,MIÉRCOLES,2,CICLISTA,BICICLETA,MASCULINO,19
2017-0153,2017,DICIEMBRE,12,LUNES,0,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,30
2017-0153,2017,DICIEMBRE,12,LUNES,0,CONDUCTOR,MOTO,MASCULINO,30
